,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
2030-04-01,673460.4390030737,611240.2025537508,744776.2475350462,889133.0232429937,823496.9665719082,1025471.7035261426,1198363.26672427,861107.6616464492,981387.5976497368,662956.7905842157
2030-05-01,675833.647375298,608671.0917105897,727689.4702833567,853645.2302838335,822310.6115675294,973742.443078393,1208674.3546567594,850658.408124217,960252.688748835,675501.2138383402
2030-06-01,663304.8689771582,605026.907899327,734478.1952148466,838120.845177987,812386.441089588,916415.1840467079,1211272.5087893037,849075.3267035236,941730.9684647057,684391.5896926647
2030-07-01,675900.2967586496,594122.0933229256,706621.3870061259,830889.7649060574,797812.3383769878,904603.1067787226,1167630.6057581867,806034.0755918047,896267.4422110813,677480.7149556738
2030-08-01,691234.0902264344,607595.921103983,671754.9089427815,801171.0832035172,795810.6282795094,929831.1107960679,1150266.5198622704,789465.1753306582,881080.4726488369,689552.350156613
2030-09-01,703433.2418908552,594787.9792714996,654099.7330523729,772320.8120617993,780733.702991223,930791.5675597677,1151598.8463991857,788616.2719839661,876079.9764944388,710627.9958083683
2030-10-01,700755.1812598068,600086.6755537372,640531.0340868293,754670.0090634393,762741.5065060547,922925.7033458212,1133258.7638301067,769560.3018996586,843543.7012908107,703048.6962131201
2030-11-01,703532.7885291369,622018.4490292495,602594.8620647911,723725.4432266686,741554.9665233563,916751.1383435229,1104138.9793452888,755168.545194626,854013.702600778,715168.34559037
2030-12-01,732680.5051843901,648542.0440535776,589874.5646803855,710474.1118785851,750862.5298021676,924688.6635322807,1070435.4715492357,759574.391427873,841284.0834394398,718140.7669410155
2031-01-01,717118.9165413355,658046.6905589075,598433.9422721012,697788.9407756157,744438.5368751718,910239.1585223409,1038144.5374433005,759302.8952009492,833219.3480410322,715929.5718477637
2031-02-01,719435.4177306971,658281.9588440253,583841.3533070744,712439.2699865657,726604.9554292444,902634.2954810392,1001603.4644318763,739580.1499821953,816468.2503038784,709400.2206375285
2031-03-01,697842.7755942707,668558.9886846336,580807.9747093195,738825.762892366,690170.7150139012,893877.5128521973,981172.6037849024,737697.5277160233,797002.4565591129,690634.2435070383
2031-04-01,696101.3016939807,680215.4890682241,563398.5604628796,752158.4721782204,661693.808347546,899760.2832157897,940750.9530053859,745857.9408897328,793636.6701992897,701578.7717362152
2031-05-01,704992.1364197498,689199.1207692365,556095.7875783789,743625.3436391305,638598.124248209,886555.137941781,894683.5631284101,750635.812707942,786315.8552217133,705283.9614236307
2031-06-01,716361.2753393368,680300.3929420983,551665.0011925708,724934.6261040058,627055.9097859125,881100.3166770011,908296.5350668739,739384.99157691,773741.5475208669,722302.0309668101
2031-07-01,710534.0121013672,653651.918314526,514662.9224515443,716481.2824800137,601285.9505631406,856592.4250167673,892426.5426459324,705478.7638666986,760674.327096496,741005.3141107539
2031-08-01,733415.8546684628,609534.2830040011,499106.95334766275,688939.5264375284,605340.5747331281,882290.207919915,893410.4269487032,712735.8920344072,765460.9532397067,759463.1454402086
