,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2037-02-01,1656497.9275762376,1508056.2174237347,2203785.777581363,2713453.471684505,1549695.3111986378,2217552.7994207647,1857565.3341455008,1419805.428500297,1433274.9448084382,1240783.6268882172,1860254.6013530367,1519056.8564404997,2167321.110141086,1452215.0615076844,2807224.1269688173,1727238.7024728863,2403809.4441927345,1322517.6697525922,1400192.1626247736,1508388.8518221509
2037-03-01,1648957.3829846557,1505015.4164895483,2208017.6105566993,2768359.955616706,1542483.562576196,2174094.330744427,1876505.853048878,1420660.7069396593,1430916.1189436377,1231743.0955495543,1891809.6911825931,1532131.1734876698,2169523.4588966654,1466453.012436333,2774487.1656163284,1718962.294291986,2426316.9193713665,1350661.9972810403,1414661.575134003,1509016.7169773008
2037-04-01,1664873.3802493813,1523450.0634375887,2227136.2414376126,2828432.826738766,1555352.171269915,2166971.723304853,1915305.316622512,1427386.802311876,1426341.755463963,1238051.638577311,1905924.0576870604,1565823.816262875,2163557.777504775,1486525.2150879584,2770812.8601807635,1716513.0952636686,2436031.1918390268,1378312.0852049254,1415114.0507384683,1521519.4442000338
2037-05-01,1668903.5871978982,1539121.0151843184,2255803.278753934,2875073.0477127978,1589794.2851938028,2201100.7746458855,1934316.8194161179,1433522.053901178,1425862.5200202384,1241215.7046907789,1920166.1514611947,1595031.5140960359,2208571.93055261,1497492.810239857,2769502.4213575413,1738931.0899229445,2458255.0344117694,1388975.0582207886,1429012.345391707,1551957.8968810886
2037-06-01,1667865.8514655647,1546559.3835476427,2254302.87160858,2879761.919235271,1636084.4407773572,2214437.388093761,1945454.6010474216,1422316.0827545016,1423918.7306627915,1234962.54647199,1926741.3880415012,1598148.3428064217,2229840.245997597,1487042.5200428516,2781795.3085835753,1736924.051279994,2495032.8284275583,1408835.9426609,1447560.8784137191,1574722.8808024907
2037-07-01,1657197.6475100673,1554213.3909970245,2239320.953406414,2876351.7537307893,1672197.5500662166,2190202.303428003,1966565.779681882,1424582.1999139513,1414784.0651528956,1219650.4166002232,1953371.486833863,1565279.7472984223,2270237.5585120837,1477304.960865415,2789814.930184945,1727140.5221733896,2529186.2336462047,1407559.8583123107,1452016.7169844776,1591135.4018661096
2037-08-01,1648849.4500817682,1564432.9416715133,2207039.061447412,2900435.244882266,1680674.4900179727,2172503.9311048314,1993686.8488695172,1416774.3441628874,1412072.8321202772,1214797.5570071046,1994668.0346831041,1557214.633638053,2325705.9322955934,1464203.6796204871,2770235.465517068,1724884.2306576346,2567459.4068453033,1410717.2414255242,1457499.984406897,1582458.651870782
2037-09-01,1672708.5745008716,1599214.5411667807,2211591.9951846316,2924749.9668966145,1696744.153385447,2179727.8769236314,2017853.5411801874,1403936.3351732348,1415066.7677712108,1223993.547283932,2044530.3416804108,1576646.8927482248,2396859.556629742,1461770.439234604,2755710.253109793,1726232.4606336914,2597224.275140242,1418644.3964591115,1471379.915823136,1589726.8888708132
2037-10-01,1672476.5186714123,1616500.7901125217,2210270.1651091157,2927954.9602178796,1706725.8546024018,2182649.865220375,2050413.4834331137,1391958.365476038,1431074.345079449,1224985.1414958404,2076667.2227257139,1611603.8168026225,2418166.74967159,1464647.0810031805,2753048.9229714503,1753095.327637228,2618067.188844825,1418508.5332417614,1488285.6195448043,1567013.910013946
2037-11-01,1663228.9786419147,1639758.3433949999,2213669.61393139,2924623.095431853,1702261.0915404288,2197434.940995603,2075823.7368385524,1392649.0713956624,1422081.5197357326,1230471.6762670618,2117087.6619967036,1634027.3047712394,2395312.8753384426,1463233.6420503766,2767500.9462027824,1781705.7934274334,2607647.860039957,1418178.0896847225,1495489.3621035274,1540267.7709367604
2037-12-01,1645511.1140226675,1625055.9892774266,2222601.0071889404,2910027.6681438615,1699145.4506979468,2206882.9878567173,2061944.65083493,1415611.9800923495,1419094.5673172164,1241757.9448788422,2152053.0887698717,1640376.2751403602,2370996.371658843,1460271.0858322596,2760943.418572396,1809962.5997636132,2608340.792986945,1428074.4089756708,1487492.0547743698,1514032.2471169443
2038-01-01,1661803.2271236228,1601597.8847114502,2260457.8448950336,2909143.924950563,1699673.527919993,2217247.6685094573,2069675.3954744556,1446892.7980037534,1436453.7286062073,1261698.3888268014,2169231.349378586,1661555.1136226442,2395269.3869451783,1449156.9526914717,2794429.828108805,1852000.7744385498,2629442.5590852257,1455210.555119974,1493530.0399082697,1517438.4489091747
2038-02-01,1692848.6403325773,1594433.8128865592,2266334.4053270705,2892924.7728200206,1702068.033212108,2216033.277229513,2120219.5705578746,1462107.1828394337,1461616.1776241825,1277494.4818861485,2186824.6574955536,1660779.804161099,2417929.963328623,1460090.303023514,2844946.585360943,1900937.495253379,2660191.8943255907,1470921.2728848516,1511287.7449670387,1532846.5753641985
2038-03-01,1710929.1511493472,1585050.829381301,2271288.4923487953,2895344.3621623837,1681074.9249275012,2238419.0740237483,2198004.106602021,1458047.057078158,1479782.0784679174,1285950.9576609149,2181206.9459612453,1652257.1125877362,2429951.0028713257,1460288.7687035673,2878519.32762395,1927843.8345886604,2664238.971292861,1474240.5557943252,1547424.4158063016,1568863.6330118724
2038-04-01,1695890.102559254,1595161.0385919977,2268126.758459998,2885609.4005182013,1662484.099790078,2228599.9949867,2273789.5407412224,1470016.932160522,1491258.7565806769,1309038.6301446366,2203747.8868762357,1651446.7618286281,2443649.258724812,1474854.0256838256,2930923.7429231196,1955387.0515033635,2680587.268395523,1467841.440170756,1583802.232923232,1590148.0959757506
2038-05-01,1719450.6735650694,1589503.3173893108,2253971.3732080925,2887530.676109297,1650640.2496211538,2235875.4861300364,2317661.4651882765,1489137.1442248903,1511364.16738081,1299808.0857957243,2206900.2402780796,1651068.6331134227,2483978.109958805,1479724.3429835553,2969454.9991201293,1991962.2113856173,2684821.9562832713,1472042.9140043224,1607256.1206039914,1622010.1161159268
2038-06-01,1726830.194785361,1592165.802132907,2228151.7078412753,2890239.525739978,1646231.9718601767,2246531.167521205,2338979.5303246,1498165.2583016765,1528095.786526206,1303578.832619912,2197235.6962299934,1667888.7250682912,2544527.047625424,1469828.9733320572,3000796.3544987617,1983969.8163931568,2680943.4462407874,1457073.6242636002,1609474.6319777556,1621282.402121994
2038-07-01,1712528.2831009026,1570300.50042797,2196478.346575803,2919315.806708779,1642620.1958565589,2262336.042307638,2331286.024983595,1497383.418746718,1509420.9230795307,1296260.3449853885,2178416.323824973,1684702.8054055101,2577290.920469719,1474868.5715569213,2958858.093456588,1992093.300523401,2694428.477258458,1426504.0185921872,1605680.1566744442,1617628.8845849263
2038-08-01,1711067.7607400927,1552838.4943666921,2155777.5266582407,2961529.856377714,1666598.8600756526,2315093.0600295356,2344042.0390044395,1474760.5342296953,1500150.4575535438,1284899.646145134,2179646.2645140267,1714001.9450840068,2599096.2055971245,1485250.38522861,2951367.4642900922,2029506.4793459282,2694458.2659968957,1399169.3162467147,1603206.3554661504,1622395.7820694998
2038-09-01,1720620.2514848732,1583115.3544452605,2129878.729042787,3005283.5995588824,1694069.8212677988,2370473.4195032986,2386386.6175388084,1477041.218874249,1484593.2125730098,1278237.6761034369,2172558.562835449,1723034.1678962319,2616289.2540632235,1515515.011317181,2952404.4482025523,2074007.261093195,2691391.611879434,1374550.90005902,1585181.3476751246,1619588.165706758
