,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2036-10-01,1959422.1543538987,1642754.5747638578,2503117.98993967,2936807.2080676057,1702703.3998696217,2620268.235387027,2059136.6637815896,1722012.344783224,1681589.419158907,1358908.2373462077,2068604.7590210366,1908271.1663819612,2424037.4790582857,1637891.9521664071,3347287.698616258,1935591.2137346475,2931431.6299252915,1528033.4078295124,1636252.957451867,1807507.5207387295
2036-11-01,1979988.129828918,1696570.4337979946,2496844.2704604,2975173.044967452,1709107.8577414087,2607466.789668893,2089601.5637230347,1695554.7198639868,1674028.802031758,1385573.0086413494,2057486.6562194854,1901513.6459115099,2428919.1420474495,1637155.296594968,3341325.2885694173,1943946.060829621,2930241.6615146864,1499022.051702592,1648423.5408562713,1799076.7023547646
2036-12-01,1997379.8803933007,1751999.00389602,2522176.8321118937,3044887.4615519936,1732414.75577457,2619902.2879350237,2116663.646415251,1659496.879326237,1655660.4203388502,1403158.9426333548,2072094.0590740615,1867049.4747652072,2441109.4573722477,1660500.4008445784,3346038.632890936,1970107.1342878416,2900707.0386178265,1490048.4971483492,1647868.921477703,1784372.7689265413
2037-01-01,1999887.9984844043,1778193.9559106426,2538133.2806543573,3118907.8438450834,1772341.14316006,2602628.1033381172,2138880.35086868,1648190.3407858028,1664454.48498536,1427891.2433709353,2108404.582404109,1826135.0799741026,2480849.001307868,1683908.9791159597,3365769.7692717505,1989411.8689752873,2908195.9427736015,1500900.260054827,1664667.059830877,1761090.516817075
2037-02-01,2010668.6448155323,1777518.2597222296,2582397.330919817,3203083.679938446,1814971.1083786944,2581964.21270689,2179174.721244252,1651570.1507469148,1684706.7391290644,1448398.5156405207,2177136.8579858495,1798079.7561530233,2533071.1929457737,1715393.0367927758,3348140.12513308,2006701.4272027046,2952339.4704339877,1536812.7772858911,1690141.8138469378,1758277.298052671
2037-03-01,2002470.5210184297,1769707.064514327,2591924.9930022997,3268027.7518384005,1808693.9885430045,2537238.814546612,2203288.8736706846,1654137.3438267764,1683953.6494162113,1440336.9156316197,2216725.6272171843,1815291.609072143,2543505.9475893434,1737581.4119168185,3308903.7501464644,2002967.2881928985,2985404.3773988676,1568981.0709494357,1708249.549462537,1760230.5097536698
2037-04-01,2025803.2920976328,1787037.6413122786,2621808.6590590086,3338346.619532668,1825973.38746915,2529546.302875127,2251171.964773457,1663172.1454235727,1680395.3328845787,1450094.5905800308,2234243.4089785297,1855820.3162082187,2541140.133608795,1765794.0496184276,3308654.710275253,2001398.9202815215,3000526.7858189796,1603022.953372197,1709318.197801539,1776046.9502658842
2037-05-01,2037400.2141843487,1805612.6338444005,2654308.0671729213,3391682.3823162653,1868437.3857733966,2565925.071826044,2278689.599778679,1671557.4656580938,1681820.4012121565,1453607.7886636262,2250390.1234852984,1890186.7073576434,2593666.1443955367,1785400.5667971692,3322842.2513801125,2027888.0899623698,3035263.501070275,1618814.7800568559,1724723.6359896082,1814761.3574934849
2037-06-01,2036593.6251584291,1815505.005018704,2650810.608964141,3401292.8802139694,1925172.8863265929,2580480.34203029,2295020.358977095,1660250.1098087227,1681136.6420256589,1447744.2085629164,2261861.120392597,1893287.1373725422,2620796.7348866784,1777357.9354438554,3343328.090999982,2029155.6427384934,3085684.0394798317,1644958.1272446092,1744192.8706457308,1843815.5152670897
2037-07-01,2022199.7082392862,1835224.9167168674,2635477.6846705005,3399564.0109910504,1969771.799309037,2555303.762112144,2322924.278091386,1664489.5483351697,1671898.0201752249,1432072.5346974991,2297533.781397868,1856575.0724647313,2672375.9586285274,1766585.3732861404,3356992.527175616,2022748.446739596,3133678.9087875346,1647282.2225322642,1749602.4445548032,1864387.8781606017
